City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
133,ziro,27.6333,93.8333,7.41,98,100,0.07,IN,1680406996
134,sobolevo,54.4299,31.8996,6.26,96,100,5.66,RU,1680406996
135,mahebourg,-20.4081,57.7,26.25,83,40,0.0,MU,1680406997
136,bilma,18.6853,12.9164,20.39,9,76,4.07,NE,1680406997
137,yerbogachen,61.2767,108.0108,-8.86,80,46,5.11,RU,1680406998
138,kieta,-6.2167,155.6333,29.09,70,77,2.17,PG,1680406998
139,geraldton,-28.7667,114.6,27.23,61,40,6.17,AU,1680406999
140,shaki,41.0833,47.1667,3.96,97,100,0.88,AZ,1680407000
141,caravelas,-17.7125,-39.2481,25.95,78,89,4.2,BR,1680407000
142,hamilton,39.1834,-84.5333,5.23,82,100,4.63,US,1680407001
143,bay roberts,47.5999,-53.2648,0.74,91,100,2.68,CA,1680407001
144,leningradskiy,69.3833,178.4167,-17.24,88,100,12.9,RU,1680407001
145,gikongoro,-2.464,29.5739,12.35,94,46,1.25,RW,1680407002
146,oktyabrskoye,43.0645,44.7417,-0.92,100,100,3.0,RU,1680406724
147,bintulu,3.1667,113.0333,30.23,70,20,2.57,MY,1680407002
148,kapiri mposhi,-13.9652,28.6809,15.0,98,95,1.79,ZM,1680407003
149,severo-kurilsk,50.6789,156.125,-0.05,86,79,7.42,RU,1680407003
150,veinticinco de mayo,-35.4323,-60.1727,12.63,53,57,3.2,AR,1680407004
151,ossora,59.2353,163.0719,-1.29,91,56,1.42,RU,1680407004
152,pemangkat,1.1667,108.9667,28.63,68,100,2.95,ID,1680407005
153,rettikhovka,44.1683,132.7669,16.08,31,79,3.66,RU,1680407005
154,raudeberg,61.9875,5.1352,1.37,70,63,2.66,NO,1680407005
155,chokurdakh,70.6333,147.9167,-21.36,93,72,3.75,RU,1680407005
156,ailigandi,9.2333,-78.0167,25.7,88,100,5.8,PA,1680407006
157,lagoa,39.05,-27.9833,15.7,78,22,16.52,PT,1680407006
158,buala,-8.145,159.5921,28.37,74,100,0.43,SB,1680406710
159,upernavik,72.7868,-56.1549,-31.36,99,48,3.5,GL,1680407006
160,victoria,22.2855,114.1577,23.02,91,100,1.34,HK,1680406924
161,port lincoln,-34.7333,135.8667,17.24,56,80,5.46,AU,1680407007
162,port-gentil,-0.7193,8.7815,25.49,82,100,4.12,GA,1680406915
163,coihaique,-45.5752,-72.0662,8.34,81,75,0.0,CL,1680406990
164,jatiroto,-7.8833,111.1167,27.31,72,100,1.51,ID,1680407008
165,ponta delgada,37.7333,-25.6667,17.4,100,75,7.72,PT,1680407009
166,plettenberg bay,-34.0527,23.3716,17.28,53,0,1.23,ZA,1680407009
167,laguna,38.421,-121.4238,15.99,63,75,3.6,US,1680407009
168,kuytun,54.3419,101.5036,-8.54,60,55,2.77,RU,1680407009
169,port-cartier,50.0334,-66.8654,-1.81,98,100,6.06,CA,1680407010
170,komsomolskiy,40.4272,71.7189,20.4,42,100,2.06,UZ,1680407010
171,alofi,-19.0595,-169.9187,28.94,70,33,7.2,NU,1680407011
172,sioux lookout,50.1001,-91.917,-0.96,37,100,1.54,CA,1680406933
173,airai,-8.9266,125.4092,22.56,69,93,0.81,TL,1680407011
174,pombas,17.1503,-25.0201,23.88,57,0,2.97,CV,1680407012
175,port hardy,50.6996,-127.4199,3.0,100,40,2.06,CA,1680407012
176,puerto cabezas,14.0351,-83.3888,24.53,75,6,5.02,NI,1680407013
177,falmouth,50.1544,-5.0711,8.5,87,100,2.57,GB,1680407013
178,lorengau,-2.0226,147.2712,28.13,78,74,2.0,PG,1680407014
179,waingapu,-9.6567,120.2641,28.7,73,100,2.12,ID,1680407014
180,helong,42.5397,128.9972,19.25,34,42,2.58,CN,1680407015
181,mayumba,-3.432,10.6554,24.45,88,100,3.6,GA,1680407015
182,avera,33.194,-82.5271,20.03,50,42,5.85,US,1680407016
183,shirokiy,49.758,129.523,17.86,26,100,4.3,RU,1680407016
184,kamen-rybolov,44.7481,132.0403,12.52,44,94,4.84,RU,1680407016
185,mbini,1.574,9.6134,24.72,89,44,1.55,GQ,1680407017
186,colares,38.7992,-9.4469,14.31,82,73,7.15,PT,1680406792
187,metro,-5.1131,105.3067,30.21,62,82,1.63,ID,1680407018
188,henties bay,-22.116,14.2845,14.88,93,6,0.22,NA,1680407018
189,port blair,11.6667,92.75,29.02,70,40,2.57,IN,1680406758
190,aneho,6.2333,1.6,27.57,79,85,4.29,TG,1680407019
191,zunyi,27.6867,106.9072,23.84,58,91,8.34,CN,1680407019
192,nelson bay,-32.7167,152.15,22.84,70,19,3.58,AU,1680407019
193,cairns,-16.9167,145.7667,31.73,77,40,3.6,AU,1680407020
194,kruisfontein,-34.0033,24.7314,14.52,75,0,2.28,ZA,1680407020
195,slave lake,55.2834,-114.769,2.99,70,100,3.09,CA,1680407020
196,ambunti,-4.2365,142.8448,28.7,83,100,0.72,PG,1680407021
197,popondetta,-8.7537,148.2534,27.18,74,99,0.8,PG,1680407021
198,bermejillo,25.8833,-103.6167,29.02,47,97,5.33,MX,1680407021
199,dzilam gonzalez,21.2833,-88.9333,25.49,62,3,3.52,MX,1680407022
200,hambantota,6.1241,81.1185,29.19,84,20,1.03,LK,1680407022
201,kanniyakumari,8.0833,77.5667,28.77,70,28,3.51,IN,1680407022
202,pavlohrad,48.5167,35.8667,5.28,76,100,4.74,UA,1680407023
203,mount isa,-20.7333,139.5,29.87,26,100,4.63,AU,1680407023
204,saint-joseph,-21.3667,55.6167,25.82,78,99,3.1,RE,1680407024
205,puerto del rosario,28.5004,-13.8627,18.86,82,0,9.26,ES,1680407024
